record_date,classification_desc,current_month_budget_amt,current_fytd_budget_amt,prior_fytd_budget_amt
2023-06-30,On-Budget Surplus (+) or Deficit (-),-284820123953.24,-1420303425771.68,-530801708874.27
2023-06-30,Off-Budget Surplus (+) or Deficit (-),57051711415.19,27663850775.56,15734638434.21
2023-06-30,Total On-Budget and Off-Budget Financing,227768412538.05,1392639574996.12,515067070440.06
2023-06-30,Means of Financing:,null,null,null
2023-06-30,Borrowing from the Public,823324536210.47,1126303445004.05,1602516866649.65
2023-06-30,"Reduction of Operating Cash, Increase (-)",-353882590887.93,233599175233.03,-567245776510.34
2023-06-30,By Other Means,-241673532784.49,32736954734.74,-520204011065.44
2023-05-31,Total On-Budget and Off-Budget Results:,null,null,null
2023-05-31,Total Receipts,307486880350.41,2994203093880.51,3374586984774.13
2023-05-31,On-Budget Receipts,212878880350.41,2219748497041.81,2674647775868.67
2023-05-31,Off-Budget Receipts,94608000000.00,774454596838.70,699939208905.46
2023-05-31,Total Outlays,547835120008.78,4159074256338.58,3800812541997.27
2023-05-31,On-Budget Outlays,430380332180.36,3355231798860.25,3083985030994.77
2023-05-31,Off-Budget Outlays,117454787828.42,803842457478.33,716827511002.50
2023-05-31,Total Surplus (+) or Deficit (-),-240348239658.37,-1164871162458.07,-426225557223.14
2023-05-31,On-Budget Surplus (+) or Deficit (-),-217501451829.95,-1135483301818.44,-409337255126.10
2023-05-31,Off-Budget Surplus (+) or Deficit (-),-22846787828.42,-29387860639.63,-16888302097.04
2023-05-31,Total On-Budget and Off-Budget Financing,240348239658.37,1164871162458.07,426225557223.14
2023-05-31,Means of Financing:,null,null,null
2023-05-31,Borrowing from the Public,19084631611.61,302978908793.58,1599253858575.70
2023-05-31,"Reduction of Operating Cash, Increase (-)",267868853264.43,587481766120.96,-639080381896.82
2023-05-31,By Other Means,-46605245217.67,274410487519.23,-533947910814.73
2023-04-30,Total On-Budget and Off-Budget Results:,null,null,null
2023-04-30,Total Receipts,638520361158.51,2686716213530.10,2985598525185.89
2023-04-30,On-Budget Receipts,518378361158.51,2006869616691.40,2370941316280.43
2023-04-30,Off-Budget Receipts,120142000000.00,679846596838.70,614657208905.46
2023-04-30,Total Outlays,462339570809.39,3611239136329.80,3345601568727.45
2023-04-30,On-Budget Outlays,361603393405.13,2924851466679.89,2730090548081.18
2023-04-30,Off-Budget Outlays,100736177404.26,686387669649.91,615511020646.27
2023-04-30,Total Surplus (+) or Deficit (-),176180790349.12,-924522922799.70,-360003043541.56
2023-04-30,On-Budget Surplus (+) or Deficit (-),156774967753.38,-917981849988.49,-359149231800.75
2023-04-30,Off-Budget Surplus (+) or Deficit (-),19405822595.74,-6541072811.21,-853811740.81
2023-04-30,Total On-Budget and Off-Budget Financing,-176180790349.12,924522922799.70,360003043541.56
2023-04-30,Means of Financing:,null,null,null
2023-04-30,Borrowing from the Public,-87786761537.74,283894277181.97,1549074338863.72
2023-04-30,"Reduction of Operating Cash, Increase (-)",-138688133567.70,319612912856.53,-708080453886.45
2023-04-30,By Other Means,50294104756.32,321015732736.90,-480990832792.65
